FECHA,SUBPARTIDA,CANTIDAD,TOTAL_USD
20220101,83,3,3935
20220101,82,4,434
20220102,82,4,360
20220102,83,5,7625
20220103,87,449,8774939
20220103,82,72,367573
20220103,83,67,468712
20220104,82,252,617162
20220104,87,681,10995180
20220104,83,134,1865895
20220105,82,216,1142363
20220105,83,81,465666
20220105,87,461,11390658
20220106,82,237,1578199
20220106,87,1155,21399577
20220106,83,201,1083765
20220107,83,164,833930
20220107,87,824,18652601
20220107,82,226,1558856
20220108,82,102,187727
20220108,87,292,6252902
20220108,83,58,127545
20220109,87,7,64632
20220109,83,13,16586
20220109,82,2,2885
20220110,83,2,1622
20220110,87,1,1260
20220111,83,158,1266964
20220111,82,262,1438773
20220111,87,762,9697964
20220112,87,779,11958357
20220112,82,239,1373284
20220112,83,162,1233854
20220113,83,208,2069648
20220113,87,922,20037978
20220113,82,280,1187546
20220114,83,198,1197262
20220114,82,339,949421
20220114,87,919,9998979
20220115,82,44,97560
20220115,87,351,2574369
20220115,83,44,320525
20220116,87,76,178218
20220116,82,1,643
20220116,83,7,4307
20220117,87,950,26620392
20220117,82,227,1181471
20220117,83,169,1561724
20220118,83,221,1211666
20220118,82,306,1146638
20220118,87,972,8669955
20220119,87,1025,24824639
20220119,82,231,1005667
20220119,83,204,1121207
20220120,87,796,29272050
20220120,82,240,1294055
20220120,83,156,1266907
20220121,87,1062,18761696
20220121,83,235,1389288
20220121,82,301,1032517
20220122,83,47,425659
20220122,82,75,397637
20220122,87,273,9396455
20220123,82,5,9466
20220123,83,10,3385
20220124,82,276,1081888
20220124,83,167,1880069
20220124,87,1031,17614881
20220125,82,349,941001
20220125,87,1090,17326081
20220125,83,181,857498
20220126,82,293,1425567
20220126,87,872,11007665
20220126,83,208,1215172
20220127,82,274,1098295
20220127,83,213,907843
20220127,87,889,21409639
20220128,87,945,22199580
20220128,82,220,857035
20220128,83,131,2576573
20220129,83,42,492657
20220129,87,66,2635844
20220129,82,61,253045
20220130,83,9,29916
20220130,82,3,86
20220131,83,141,1248959
20220131,87,584,11381489
20220131,82,196,977401
20220201,87,1530,19782701
20220201,83,219,2944978
20220201,82,248,1214233
20220202,82,267,957858
20220202,87,996,10399330
20220202,83,187,840626
20220203,82,192,896108
20220203,87,734,14565170
20220203,83,159,1237484
20220204,83,187,1357913
20220204,82,253,1364813
20220204,87,921,9276663
20220205,82,48,155141
20220205,83,36,146988
20220205,87,93,2955360
20220206,87,8,472746
20220206,83,8,3594
20220206,82,8,4967
20220207,87,769,8083189
20220207,83,173,665701
20220207,82,238,1247940
20220208,83,174,2211585
20220208,82,260,1135132
20220208,87,867,10273783
20220209,82,274,1213517
20220209,83,164,1062206
20220209,87,1198,14609877
20220210,83,221,1644866
20220210,82,194,843290
20220210,87,906,10066460
20220211,87,863,14217399
20220211,83,226,1972149
20220211,82,284,1587267
20220212,87,132,723658
20220212,83,46,162246
20220212,82,110,223517
20220213,83,5,9090
20220213,87,6,12413
20220214,83,162,930438
20220214,87,665,15021522
20220214,82,312,1230775
20220215,87,980,24745890
20220215,82,316,1228057
20220215,83,216,1226694
20220216,87,1126,10743889
20220216,83,166,2720047
20220216,82,329,655678
20220217,82,214,1155789
20220217,83,178,948472
20220217,87,779,11524410
20220218,82,231,1456417
20220218,83,234,2802973
20220218,87,1011,26574087
20220219,82,79,85732
20220219,83,58,262433
20220219,87,131,1698866
20220220,87,28,4625700
20220220,83,9,7557
20220220,82,6,3094
20220221,83,175,860659
20220221,87,770,27224403
20220221,82,264,1065708
20220222,83,236,1465589
20220222,82,417,1172711
20220222,87,1187,17084327
20220223,82,351,1289845
20220223,83,212,1039924
20220223,87,1162,13168360
20220224,83,169,1244301
20220224,87,764,11546603
20220224,82,244,923080
20220225,87,893,10426602
20220225,82,208,802738
20220225,83,181,564718
20220226,82,57,281478
20220226,83,50,207911
20220226,87,111,825090
20220227,83,11,111495
20220227,82,7,1399
20220227,87,13,10815
20220228,82,203,1503791
20220228,83,146,778708
20220228,87,691,7438468
20220301,87,1223,14000545
20220301,82,210,955398
20220301,83,186,1103177
